Rank  ,Name ,Name,Rank,CoC Name,Rank-Number,Overall Homeless,PIT,Rank-HomelessPopulation,Rank-Rate,Rank-Rate (CoC Rates and Ranking),Rate,Rate of Homelessness,ValueToDisplay,ValueToDisplay CoC
242,PA-508,PA,29,Scranton/Lackawanna County CoC,338,188,"12,691",9,29,242,9.753260418,8.7,10,8.717304313
107,MI-508,MI,38,"Lansing, East Lansing/Ingham County CoC",213,515,"8,206",17,38,107,8.175339208,18.1,8,18.131632129
201,NY-511,NY,6,"Binghamton, Union Town/Broome, Otsego, Chenango, Delaware, Cortland, Tioga Count",225,483,"74,178",2,6,201,37.355170532,11.0,37,10.963095452
6,OR-500,OR,4,"Eugene, Springfield/Lane County CoC",42,"2,880","17,959",6,4,6,42.193914387,75.2,42,75.158733680
80,DE-500,DE,11,Delaware Statewide CoC,46,"2,369","2,369",40,11,80,23.576666962,23.6,24,23.610103410
47,CA-607,CA,2,Pasadena CoC,215,512,"171,521",1,2,47,43.819083728,37.7,44,37.721392155
13,FL-604,FL,22,Monroe County CoC,210,526,"25,959",3,22,13,11.892485771,64.0,12,64.013630279
51,OR-505,OR,4,Oregon Balance of State CoC,25,"4,057","17,959",6,4,51,42.193914387,36.2,42,36.203302469
211,VA-601,VA,47,Fairfax County CoC,112,"1,191","6,529",21,47,211,7.541555658,10.1,8,10.106161364
297,OH-508,OH,33,"Canton, Massillon, Alliance/Stark County CoC",307,247,"10,654",11,33,297,9.056180108,6.6,9,6.607210687
22,CA-500,CA,2,San Jose/Santa Clara City & County CoC,4,"10,028","171,521",1,2,22,43.819083728,53.2,44,53.184605952
272,FL-602,FL,22,Punta Gorda/Charlotte County CoC,349,148,"25,959",3,22,272,11.892485771,7.6,12,7.595859230
234,NC-513,NC,34,Chapel Hill/Orange County CoC,357,133,"9,382",14,34,234,8.879521214,8.9,9,8.933129148
173,FL-600,FL,22,Miami-Dade County CoC,33,"3,276","25,959",3,22,173,11.892485771,12.3,12,12.302945384
264,VA-603,VA,47,Alexandria CoC,361,120,"6,529",21,47,264,7.541555658,7.8,8,7.756648094
313,SC-502,SC,50,Columbia/Midlands CoC,135,987,"3,608",32,50,313,6.947458497,6.3,7,6.270926915
41,GA-500,GA,28,Atlanta CoC,61,"2,017","10,689",10,28,41,9.908204733,40.6,10,40.627561883
222,FL-605,FL,22,West Palm Beach/Palm Beach County CoC,94,"1,404","25,959",3,22,222,11.892485771,9.4,12,9.372578000
174,VA-507,VA,47,Portsmouth CoC,360,120,"6,529",21,47,174,7.541555658,12.3,8,12.264922322
21,OR-502,OR,4,"Medford, Ashland/Jackson County CoC",107,"1,251","17,959",6,4,21,42.193914387,55.9,42,55.914612889
350,IL-519,IL,49,West Central Illinois CoC,370,97,"9,212",15,49,350,7.261279715,4.6,7,4.616365730
17,CA-502,CA,2,"Oakland, Berkeley/Alameda County CoC",5,"9,747","171,521",1,2,17,43.819083728,59.1,44,59.124470142
167,FL-504,FL,22,"Deltona, Daytona Beach/Volusia, Flagler Counties CoC",144,865,"25,959",3,22,167,11.892485771,12.6,12,12.621398889
68,CA-611,CA,2,"Oxnard, San Buenaventura/Ventura County CoC",53,"2,248","171,521",1,2,68,43.819083728,26.8,44,26.768788165
81,NC-501,NC,34,Asheville/Buncombe County CoC,181,637,"9,382",14,34,81,8.879521214,23.5,9,23.459308963
255,NC-506,NC,34,"Wilmington/Brunswick, New Hanover, Pender Counties CoC",272,347,"9,382",14,34,255,8.879521214,8.0,9,7.957839504
43,HI-501,HI,5,Honolulu City and County CoC,26,"3,945","5,967",23,5,43,41.232653885,39.4,41,39.414920721
281,NJ-511,NJ,31,Paterson/Passaic County CoC,258,374,"8,752",16,31,281,9.443285314,7.2,9,7.218446799
237,IL-507,IL,49,"Peoria, Pekin/Fulton, Tazewell, Peoria, Woodford Counties CoC",279,337,"9,212",15,49,237,7.261279715,8.8,7,8.838950132
311,AR-503,AR,41,Arkansas  Balance of State  CoC,155,814,"2,459",37,41,311,8.120544681,6.3,8,6.302246124
36,VT-500,VT,3,Vermont Balance of State CoC,57,"2,112","2,780",35,3,36,42.969402076,44.3,43,44.304129388
271,MA-519,MA,12,"Attleboro, Taunton/Bristol County CoC",290,293,"15,507",7,12,271,22.185533264,7.6,22,7.603694409
374,SC-500,SC,50,Charleston/Low Country CoC,281,324,"3,608",32,50,374,6.947458497,3.0,7,2.967668896
315,TN-506,TN,17,Upper Cumberland CoC,254,382,"10,567",12,17,315,15.164276312,6.2,15,6.209453649
342,TX-604,TX,37,Waco/McLennan County CoC,334,195,"24,432",5,37,342,8.265540922,5.2,8,5.168369578
124,NE-501,NE,24,"Omaha, Council Bluffs CoC",99,"1,346","2,246",42,24,124,11.438442742,15.4,11,15.440560724
101,FL-508,FL,22,"Gainesville/Alachua, Putnam Counties CoC",139,925,"25,959",3,22,101,11.892485771,18.9,12,18.896331660
302,NJ-510,NJ,31,Lakewood Township/Ocean County CoC,243,419,"8,752",16,31,302,9.443285314,6.5,9,6.456106182
274,TN-509,TN,17,Appalachian Regional CoC,251,392,"10,567",12,17,274,15.164276312,7.5,15,7.535577731
33,HI-500,HI,5,Hawaii Balance of State CoC,60,"2,022","5,967",23,5,33,41.232653885,45.9,41,45.885404493
228,GA-505,GA,28,Columbus-Muscogee CoC,309,243,"10,689",10,28,228,9.908204733,9.2,10,9.192741139
106,IN-503,IN,43,Indianapolis CoC,73,"1,761","5,449",24,43,106,7.997320626,18.1,8,18.134037413
144,NC-511,NC,34,Fayetteville/Cumberland County CoC,227,475,"9,382",14,34,144,8.879521214,14.2,9,14.157635585
147,FL-506,FL,22,Tallahassee/Leon County CoC,184,621,"25,959",3,22,147,11.892485771,13.9,12,13.912817491
122,NC-505,NC,34,Charlotte/Mecklenberg CoC,74,"1,761","9,382",14,34,122,8.879521214,15.7,9,15.691327267
110,UT-500,UT,26,Salt Lake City & County CoC,58,"2,095","3,557",33,26,110,10.652529579,17.7,11,17.658150016
337,MD-505,MD,36,Baltimore County CoC,229,468,"5,349",25,36,337,8.662895308,5.5,9,5.510316537
84,NM-500,NM,21,Albuquerque CoC,105,"1,277","2,560",36,21,84,12.094429145,22.7,12,22.698227334
230,IL-516,IL,49,Decatur/Macon County CoC,373,93,"9,212",15,49,230,7.261279715,9.1,7,9.079194002
320,IL-502,IL,49,"Waukegan, North Chicago/Lake County CoC",236,431,"9,212",15,49,320,7.261279715,6.1,7,6.059847674
